year,country_name,gdp_per_capita_2015_dollar,physicians_per_1000,hospital_beds_per_1000,crop_production_index,life_expectancy_at_birth,total_fertility_rate
2000,Nigeria,1462.535997,0.269,1.2,64.38,47.193,6.124
2000,Kenya,1187.32581,0.1362857142857143,1.8578666646666666,57.92,54.411,5.137
2000,United Kingdom,38918.45506,1.994,4.08,98.54,77.74146341,1.64
2000,China,2193.896866,1.268,1.71,61.97,71.881,1.628
2000,Japan,31430.63113,1.935,14.7,114.41,81.07609756,1.36
2001,Argentina,10090.65344,3.2481,4.08,63.93,74.186,2.531
2001,Brazil,6749.881603,1.4438333333333335,2.75,57.21,70.195,2.183
2001,France,34009.8624,3.408,8.12,95.4,79.15853659,1.9
2001,Germany,35011.06846,3.327,9.1,100.61,78.32926829,1.35
2001,Poland,7438.603435,2.243,5.25,103.88,74.2,1.31
2001,Nigeria,1508.55359,0.26666666666666666,1.025,63.49,47.619,6.139
2001,Kenya,1195.443778,0.13714285714285715,1.8789333323333333,66.82,54.508,5.091
2001,United Kingdom,39768.66635,2.043,4.04,86.81,77.99268293,1.63
2001,China,2359.572385,1.287,1.69,63.25,72.606,1.563
2001,Japan,31476.05207,1.957,14.61,113.41,81.41634146,1.33
2002,Argentina,8895.319642,3.2273,4.06,65.11,74.408,2.493
2002,Brazil,6868.695907,1.4837500000000001,2.56,60.96,70.41,2.103
2002,France,34146.30627,3.435,8.01,103.96,79.26097561,1.88
2002,Germany,34883.05807,3.364,8.99,91.73,78.22926829,1.34
2002,Poland,7593.559655,2.279,5.599999905,95.38,74.49756098,1.25
2002,Nigeria,1693.745727,0.26433333333333336,0.85,66.64,47.928,6.135
2002,Kenya,1166.065286,0.138,1.9,66.41,54.99,5.016
2002,United Kingdom,40310.30494,2.114,3.98,97.87,78.14390244,1.63
2002,China,2557.891612,1.143,1.73,66.02,72.985,1.566
2002,Japan,31416.12418,1.979,14.45,111.91,81.69073171,1.32
2003,Argentina,9581.969792,3.2065,4.04,67.6,74.08,2.451
2003,Brazil,6865.17325,1.5236666666666667,2.4,66.32,70.72,2.023
2003,France,34183.66334,3.454,7.84,89.85,79.11463415,1.89
2003,Germany,34619.66407,3.401,8.87,81.79,78.3804878,1.34
2003,Poland,7864.518264,2.408,6.61,87.46,74.59756098,1.22
2003,Nigeria,1769.882237,0.262,0.675,70.19,48.441,6.116
2003,Kenya,1165.166103,0.14316666666666666,1.65,67.58,55.601,4.907
2003,United Kingdom,41385.54047,2.201,3.95,93.0,78.44634146,1.7
2003,China,2797.176659,1.19,1.76,65.89,73.371,1.57
2003,Japan,31830.21758,2.005,14.27,106.01,81.76,1.29
2004,Argentina,10341.64341,3.1857,4.02,66.46,74.855,2.43
2004,Brazil,7178.347485,1.5635833333333333,2.45,68.9,71.131,2.002
2004,France,34893.52981,3.473,7.69,106.67,80.16341463,1.92
2004,Germany,35034.08061,3.426,8.71,103.86,78.6804878,1.36
2004,Poland,8261.227441,2.266,6.6,102.06,74.84634146,1.23
2004,Nigeria,1882.181986,0.2705,0.5,74.89,48.767,6.085
2004,Kenya,1188.570711,0.14833333333333334,1.4,69.09,56.361,4.83
2004,United Kingdom,42149.27034,2.331,3.86,94.77,78.74634146,1.75
2004,China,3061.833173,1.22,1.82,70.44,73.748,1.605
2004,Japan,32515.1158,2.031,14.2,107.94,82.0302439,1.29
2005,Argentina,11141.31067,3.2693444444444446,4.0,77.46,75.139,2.426
2005,Brazil,7325.90355,1.6035,2.5,67.94,71.753,1.974
2005,France,35208.8558,3.476,7.52,99.78,80.16341463,1.94
2005,Germany,35310.47047,3.448,8.6,96.0,78.93170732,1.34
2005,Poland,8554.693897,2.115,6.45,89.34,74.99512195,1.24
2005,Nigeria,1950.122368,0.279,0.5,79.41,49.297,6.068
2005,Kenya,1221.859289,0.15350000000000003,1.4,78.4,57.344,4.784
2005,United Kingdom,43007.36292,2.408,3.72,94.57,79.04878049,1.76
2005,China,3390.716159,1.244,1.87,72.56,74.111,1.624
2005,Japan,33098.54747,2.0570000000000004,14.07,110.45,81.95512195,1.26
2006,Argentina,11913.95853,3.352988888888889,4.1,75.44,75.433,2.4
2006,Brazil,7534.5425,1.6434166666666667,2.45,71.56,72.037,1.927
2006,France,35821.87199,3.469,7.41,96.17,80.81219512,2.0
2006,Germany,36699.44678,3.487,8.42,90.6,79.13170732,1.33
2006,Poland,9084.949214,2.156,6.4,81.17,75.14390244,1.27
2006,Nigeria,2013.274011,0.344,0.5,85.08,49.73,6.081
2006,Kenya,1262.814666,0.15866666666666668,1.4,79.15,58.222,4.748
2006,United Kingdom,43711.15502,2.46,3.54,91.57,79.24878049,1.82
2006,China,3800.765796,1.278,1.95,74.41,74.504,1.644
2006,Japan,33531.51856,2.083,13.97,105.08,82.32195122,1.32
