,year,year_code,country_name,country_code,total_fertility_rate,gdp_2015_dollar,gdp_per_capita_2015_dollar,gdp_growth,physicians_per_1000,hospital_beds_per_1000,arable_land_hectare_per_person,cpi,crop_production_index,food_production_index,percent_of_household_expenditure_in_gdp,life_expectancy_at_birth,infant_mortality_rate,child_mortality_rate,female_percentage_in_labor
219,1995,YR1995,Japan,JPN,1.42,3790000000000.0,30171.16379,2.630999616,,15.39999962,0.036900663,101.1307523,123.67,107.87,52.74382277,79.53609756,4.1,5.7,49.981
220,1996,YR1996,Argentina,ARG,2.781,368000000000.0,10388.53871,5.526689827,,3.289999962,0.768931635,,47.35,57.09,68.52372765,73.307,20.5,23.0,44.5
221,1996,YR1996,Brazil,BRA,2.516,1090000000000.0,6567.352461,2.20886405,1.245,3.109999895,0.259821415,42.4139744,45.54,48.83,65.15739922,68.409,38.6,44.9,49.002
222,1996,YR1996,France,FRA,1.75,1800000000000.0,30057.96555,1.412993673,3.326,8.800000191,0.304652882,81.04488905,101.55,105.96,55.12606746,77.95365854,4.9,6.1,48.599
223,1996,YR1996,Germany,DEU,1.3,2600000000000.0,31790.86686,0.805822891,3.124,9.600000382,0.144479331,81.64846931,87.51,87.92,56.31072458,76.67317073,5.0,6.2,47.84
224,1996,YR1996,Poland,POL,1.59,231000000000.0,5968.114357,6.115542811,2.365,5.5,0.362569021,50.35619041,111.27,98.56,61.23242347,72.24634146,11.5,13.2,60.495
225,1996,YR1996,Nigeria,NGA,6.217,161000000000.0,1451.819572,4.195924047,,,0.298315958,21.74803826,57.45,57.19,,45.567,119.7,201.1,
226,1996,YR1996,Kenya,KEN,5.306,34295389782.0,1241.878536,4.146839269,,,0.169142695,27.55708169,55.96,55.29,76.06955253,55.161,65.2,108.4,
227,1996,YR1996,United Kingdom,GBR,1.73,1960000000000.0,33775.5009,2.582022529,1.798,4.599999905,0.104836166,76.04031811,102.21,98.0,64.04323989,77.08780488,6.0,7.0,52.889
228,1996,YR1996,China,CHN,1.554,2010000000000.0,1653.433789,9.922556753,1.201,2.549999952,0.098015687,80.23815776,53.41,52.59,46.84924222,70.266,37.0,45.6,
229,1996,YR1996,Japan,JPN,1.43,3900000000000.0,31046.17015,3.133870993,1.841,15.19999981,0.036594384,101.2688973,120.18,105.66,52.44951052,80.2197561,4.0,5.5,50.037
230,1997,YR1997,Argentina,ARG,2.706,397000000000.0,11097.38206,8.111046771,,,0.762788199,,53.49,61.91,69.32637095,73.09,19.5,21.9,44.5
231,1997,YR1997,Brazil,BRA,2.465,1130000000000.0,6689.199377,3.394845986,1.281,,0.259376174,45.35186848,48.73,50.75,65.30962969,68.813,36.4,42.1,50.037
232,1997,YR1997,France,FRA,1.77,1840000000000.0,30650.74448,2.336296529,3.343,8.600000382,0.304654278,82.02062327,101.95,106.73,54.13416235,78.30487805,4.6,5.8,48.27
233,1997,YR1997,Germany,DEU,1.35,2650000000000.0,32313.29707,1.792160821,3.139,9.399999619,0.144231523,83.23193685,88.71,88.53,56.19172424,77.07317073,4.8,5.9,48.18
234,1997,YR1997,Poland,POL,1.51,245000000000.0,6348.841217,6.449003079,2.373,5.400000095,0.362383524,57.86588895,100.69,93.0,62.12383894,72.64634146,10.5,12.0,50.193
235,1997,YR1997,Nigeria,NGA,6.138,166000000000.0,1457.227896,2.937099419,,,0.291762505,23.60311856,59.36,59.14,,45.792,117.7,197.5,
236,1997,YR1997,Kenya,KEN,5.26,34458259247.0,1214.847642,0.474901921,,,0.169720603,30.68807461,53.37,54.56,77.17953611,54.816,64.0,106.6,
237,1997,YR1997,United Kingdom,GBR,1.72,2060000000000.0,35347.76354,4.924928652,1.855,4.599999905,0.109196375,77.71407435,100.96,97.74,65.65614823,77.21097561,5.8,6.9,53.302
238,1997,YR1997,China,CHN,1.527,2200000000000.0,1787.766977,9.236779892,1.216,2.549999952,0.096773977,82.47396598,54.75,54.69,45.89575779,70.672,35.4,43.6,
239,1997,YR1997,Japan,JPN,1.39,3940000000000.0,31276.19308,0.981228732,,15.10000038,0.036245508,103.0388797,121.48,106.02,52.60381194,80.42414634,3.8,5.2,50.383
240,1998,YR1998,Argentina,ARG,2.662,413000000000.0,11391.94516,3.850178852,3.003,,0.756902614,,61.75,66.67,69.05335622,73.474,18.7,20.9,45.5
241,1998,YR1998,Brazil,BRA,2.409,1130000000000.0,6613.983181,0.338097901,1.267,,0.258968959,46.80089527,49.63,51.64,64.14230076,69.189,34.3,39.5,50.768
242,1998,YR1998,France,FRA,1.78,1900000000000.0,31633.14775,3.588659425,3.355,8.399999619,0.304322162,82.55468159,103.3,107.26,53.95807074,78.60487805,4.4,5.6,48.591
243,1998,YR1998,Germany,DEU,1.36,2700000000000.0,32959.07357,2.013932785,3.182,9.300000191,0.144782524,83.99033256,92.38,89.95,55.65254515,77.47560976,4.7,5.7,48.408
244,1998,YR1998,Poland,POL,1.44,257000000000.0,6641.085312,4.640514962,2.347,5.300000191,0.363573057,64.5770911,113.63,101.65,62.00183494,72.99756098,9.5,10.9,49.953
245,1998,YR1998,Nigeria,NGA,6.069,170000000000.0,1457.70111,2.581254102,,,0.291368981,25.96257554,61.1,61.35,,46.036,115.3,193.0,
246,1998,YR1998,Kenya,KEN,5.246,35592009622.0,1221.524316,3.290213722,,,0.16054982,32.75106095,62.78,60.8,77.69400906,54.526,62.4,103.8,
247,1998,YR1998,United Kingdom,GBR,1.71,2130000000000.0,36448.26422,3.414269874,1.899,4.400000095,0.10691239,79.12890697,97.39,97.66,66.17920262,77.1902439,5.7,6.8,53.325
248,1998,YR1998,China,CHN,1.522,2370000000000.0,1909.622328,7.845951787,1.214,2.529999971,0.095850024,81.83628882,56.45,57.94,45.50532406,71.172,33.7,41.4,
249,1998,YR1998,Japan,JPN,1.38,3890000000000.0,30795.08889,-1.270330495,1.89,15.0,0.035878165,103.7209705,111.93,101.28,52.99932488,80.50146341,3.6,5.0,50.136
250,1999,YR1999,Argentina,ARG,2.643,399000000000.0,10880.20621,-3.385457041,,,0.751152067,,59.74,68.32,70.14226507,73.722,17.9,20.1,46.8
