Time,Time Code,Country Name,Country Code,"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",GDP (constant 2015 US$) [NY.GDP.MKTP.KD],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]",Arable land (hectares per person) [AG.LND.ARBL.HA.PC],Consumer price index (2010 = 100) [FP.CPI.TOTL],Crop production index (2014-2016 = 100) [AG.PRD.CROP.XD],Food production index (2014-2016 = 100) [AG.PRD.FOOD.XD],Households and NPISHs final consumption expenditure (% of GDP) [NE.CON.PRVT.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) [SE.TER.CUAT.BA.ZS]","Labor force participation rate, female (% of female population ages 15+) (national estimate) [SL.TLF.CACT.FE.NE.ZS]","Children in employment, total (% of children ages 7-14) [SL.TLF.0714.ZS]"
1978,YR1978,Nigeria,NGA,6.921,1.44E+11,2103.586316,-5.764158394,,,0.381461815,0.329709525,20.77,21.39,,46.019,131.5,222.5,,,
1978,YR1978,Kenya,KEN,7.746,17977221152,1191.536895,6.912493546,,,0.251865411,2.250271154,24.54,28.49,60.49577261,56.944,74.4,117.7,,,
1978,YR1978,United Kingdom,GBR,1.75,1.30E+12,23193.39543,4.204260533,1.2,,0.123424048,25.16706861,78.89,88.47,64.94322659,73.17560976,13.4,15.7,,35.38,
1978,YR1978,China,CHN,2.716,3.64E+11,381.0993295,11.32597799,,2.140000105,0.100850795,,26.37,21.05,47.8184901,63.218,51.6,69.8,,,
1978,YR1978,Japan,JPN,1.79,2.08E+12,18120.72843,5.271941503,1.2,,0.04262355,69.03794888,138.43,102.92,50.39927275,75.58463415,8.3,11.1,,47.4,
1979,YR1979,Argentina,ARG,3.339,2.84E+11,10278.92462,10.22276346,,,0.914909999,,34.57,48.29,62.95402901,68.491,40.1,46.7,,29.74,
1979,YR1979,Brazil,BRA,4.12,7.18E+11,6014.867353,6.759560122,,,0.375060791,,29.02,25.84,70.68756405,61.253,79.4,100.2,,,
1979,YR1979,France,FRA,1.87,1.28E+12,23378.29499,3.549989157,1.8,11.10000038,0.317805732,34.09354555,93.22,96.43,54.28492504,73.85121951,10.5,12.8,,40.64,
1979,YR1979,Germany,DEU,1.38,1.83E+12,23484.59919,4.150363341,,,0.154326933,49.48446619,89.08,96.34,58.09805895,72.63017073,13.5,16,,,
1979,YR1979,Poland,POL,2.28,,,,1.7,,0.415692394,0.030209513,126.8,117.43,,70.75121951,21.7,24.7,,,
1979,YR1979,Nigeria,NGA,6.887,1.54E+11,2178.579526,6.759430935,,,0.372125594,0.368317622,20.97,21.75,,46.215,128.6,217.3,,,
1979,YR1979,Kenya,KEN,7.679,19346227179,1238.506272,7.615226046,,,0.243268302,2.429828224,26.17,29.87,64.50519269,57.722,72,113.4,,,
1979,YR1979,United Kingdom,GBR,1.86,1.35E+12,24041.33802,3.749016594,1.3,,0.121411025,28.54481136,77.6,88.93,65.11203996,73.27560976,12.7,14.9,,35.92,
1979,YR1979,China,CHN,2.745,3.92E+11,404.5966325,7.59132468,1.12,2.200000048,0.099379776,,26.8,21.97,49.11564392,63.865,49,65.9,,,
1979,YR1979,Japan,JPN,1.77,2.20E+12,18953.33391,5.484041832,1.2,,0.042126154,71.59363083,138.92,105.45,51.2963476,76.10878049,7.8,10.5,,47.6,
1980,YR1980,Argentina,ARG,3.301,2.88E+11,10270.95612,1.51878395,,,0.905019743,,30.67,44.54,,68.564,36.9,42.8,,27.36,
1980,YR1980,Brazil,BRA,4.037,7.85E+11,6415.637813,9.2,,,0.388803963,3.57E-10,31.92,28.65,69.01292402,61.781,76.4,95.9,,30.06,
1980,YR1980,France,FRA,1.85,1.30E+12,23618.39962,1.57874526,1.9,11.10000038,0.317369311,38.71750955,91.14,96.42,54.74334285,74.05121951,10.1,12.3,,40.96,
1980,YR1980,Germany,DEU,1.44,1.86E+12,23766.10765,1.408828636,,11.5,0.153662266,52.17694447,81.32,94.89,58.85862188,72.80031707,12.6,15,,,
1980,YR1980,Poland,POL,2.28,,,,1.8,5.599999905,0.411000684,0.033134613,89,95.94,,70.09756098,21.1,24,,,
1980,YR1980,Nigeria,NGA,6.847,1.61E+11,2201.687808,4.204831044,0.113,0.86619997,0.362926357,0.40504722,21.58,23.23,,46.349,126.3,213.1,,,
1980,YR1980,Kenya,KEN,7.598,20428063600,1261.994632,5.591976206,,,0.234754488,2.766558228,25.36,28.54,62.02559592,58.501,69.8,109.4,,,
1980,YR1980,United Kingdom,GBR,1.9,1.32E+12,23524.83697,-2.03136782,,8.100000381,0.122846423,33.67315055,83.85,92.65,64.43865371,73.67560976,12.1,14.1,,35.92,
1980,YR1980,China,CHN,2.739,4.23E+11,430.8554098,7.834145016,,2.230000019,0.098014237,,26.52,22.05,50.93932817,64.42,46.8,62.6,,,
1980,YR1980,Japan,JPN,1.75,2.26E+12,19334.37474,2.817591208,,13.69999981,0.041726951,77.16259995,126.46,100.82,51.41413151,75.98902439,7.4,9.9,,47.6,
1981,YR1981,Argentina,ARG,3.253,2.73E+11,9585.206772,-5.189789141,,,0.895252884,,34.28,47.96,,68.976,34.2,39.4,,,
1981,YR1981,Brazil,BRA,3.943,7.51E+11,6001.64499,-4.25,0.767,,0.38782258,7.21E-10,33.74,30.11,69.43765641,62.333,73.3,91.6,,,
1981,YR1981,France,FRA,1.85,1.31E+12,23733.59357,1.069019839,2,11.10000038,0.316519226,43.87251579,84.22,92.94,56.19969215,74.3,9.8,11.9,,41.27,
1981,YR1981,Germany,DEU,1.43,1.87E+12,23855.52586,0.529240557,,,0.153096804,55.48717651,79.86,94.72,59.43060718,73.04021951,11.8,14.1,,,
1981,YR1981,Poland,POL,2.24,,,,1.8,,0.404249894,0.039472331,120.1,105.63,,71.05121951,20.5,23.3,,,
1981,YR1981,Nigeria,NGA,6.82,1.40E+11,1856.069976,-13.12788049,,,0.354145167,0.489348981,21.81,23.31,,46.493,124.5,209.9,,,
1981,YR1981,Kenya,KEN,7.513,21198925608,1262.89608,3.773544194,0.099,,0.226379638,3.087563458,26.74,28.65,61.73568111,61.165,67.7,105.7,,,
1981,YR1981,United Kingdom,GBR,1.82,1.31E+12,23331.3957,-0.787743889,,,0.122608389,37.67238487,80.83,89.99,64.79528811,74.02682927,11.4,13.4,,44.54,
1981,YR1981,China,CHN,2.792,4.44E+11,447.1197864,5.112761091,1.25,2.25,0.097385512,,27.71,22.83,53.23379267,64.975,45.1,59.8,,,
1981,YR1981,Japan,JPN,1.74,2.35E+12,20011.82925,4.260624493,1.3,,0.041313604,80.95295257,126.89,101.42,51.01685664,76.39487805,7,9.3,,47.7,
1982,YR1982,Argentina,ARG,3.204,2.71E+11,9366.17038,-0.735659159,,,0.885634643,,39.63,48.88,,68.937,31.9,36.6,,,
1982,YR1982,Brazil,BRA,3.838,7.57E+11,5914.565078,0.83,,,0.386834523,1.45E-09,33.79,30.17,72.22371895,62.856,70.4,87.5,,,
1982,YR1982,France,FRA,1.86,1.35E+12,24187.09477,2.505396616,2.1,11,0.316927612,49.12777279,96.51,99.68,56.45566726,74.5,9.4,11.5,,41.77,
1982,YR1982,Germany,DEU,1.41,1.86E+12,23783.94549,-0.394840775,,,0.152872277,58.39528444,94,99.33,59.329577,73.33314634,11,13.2,,,
1982,YR1982,Poland,POL,2.34,,,,1.8,,0.399773881,0.080349372,109.1,100.91,,71.10243902,19.9,22.6,,,
1982,YR1982,Nigeria,NGA,6.799,1.30E+11,1680.336031,-6.803388815,0.149,,0.345931886,0.527017828,22.23,24.13,,46.513,123.4,207.9,,,
1982,YR1982,Kenya,KEN,7.402,21518282813,1235.866751,1.506478258,0.12,,0.218246674,3.725661388,29.68,31.93,63.50302785,60.953,65.8,102.4,,,
1982,YR1982,United Kingdom,GBR,1.78,1.34E+12,23805.36267,1.994891334,,,0.122758889,40.91178195,92,95.04,64.83119391,74.17804878,10.8,12.7,,,
1982,YR1982,China,CHN,2.972,4.84E+11,480.3113224,9.017113914,1.3,2.25999999,0.100829838,,30.37,24.68,53.35813155,65.463,43.7,57.6,,70.61,
1982,YR1982,Japan,JPN,1.77,2.43E+12,20525.29585,3.279742743,,,0.040952059,83.17190615,131.42,104.83,52.12173395,76.87365854,6.6,8.8,,48,
1983,YR1983,Argentina,ARG,3.159,2.83E+11,9622.347319,4.349093279,,,0.876225617,,38.5,47.68,,69.267,29.9,34.1,,27.85,
1983,YR1983,Brazil,BRA,3.723,7.35E+11,5613.611519,-2.93,,,0.38584528,3.40E-09,33.8,30.74,76.37055463,63.331,67.6,83.7,,,
