year,country_name,total_fertility_rate,child_mortality_rate,food_production_index,percent_of_household_expenditure_in_gdp,gdp_per_capita_2015_dollar,physicians_per_1000
2002,France,1.88,5.1,104.46,53.97312935,34146.30627,3.435
2002,Germany,1.34,5.1,89.99,55.74177024,34883.05807,3.364
2002,Poland,1.25,8.4,91.16,66.5149825,7593.559655,2.279
2002,Nigeria,6.135,171.3,67.65,,1693.745727,
2002,Kenya,5.016,86.1,67.9,78.61447034,1166.065286,0.138
2002,United Kingdom,1.63,6.3,93.96,65.86757694,40310.30494,2.114
2002,China,1.566,31.5,67.12,44.91301883,2557.891612,1.143
2002,Japan,1.32,4.1,100.92,55.06246488,31416.12418,1.979
2003,Argentina,2.451,17.8,71.49,63.19780641,9581.969792,
2003,Brazil,2.023,28.3,68.05,61.84465042,6865.17325,
2003,France,1.89,4.9,95.96,54.24440075,34183.66334,3.454
2003,Germany,1.34,5.0,86.1,56.46346261,34619.66407,3.401
2003,Poland,1.22,8.1,88.01,65.01950063,7864.518264,2.408
2003,Nigeria,6.116,165.6,70.53,,1769.882237,0.262
2003,Kenya,4.907,81.1,69.79,77.1191802,1165.166103,
2003,United Kingdom,1.7,6.2,91.97,65.34966074,41385.54047,2.201
2003,China,1.57,28.9,68.08,42.707785,2797.176659,1.19
2003,Japan,1.29,4.0,97.92,54.89712551,31830.21758,
2004,Argentina,2.43,17.3,73.94,64.33150085,10341.64341,3.1857
2004,Brazil,2.002,26.4,70.89,60.20657719,7178.347485,
2004,France,1.92,4.8,104.2,54.05297711,34893.52981,3.473
2004,Germany,1.36,4.8,95.66,56.14301752,35034.08061,3.426
2004,Poland,1.23,7.8,94.52,64.42533472,8261.227441,2.266
2004,Nigeria,6.085,160.0,75.1,,1882.181986,
2004,Kenya,4.83,76.1,72.96,75.52468789,1188.570711,
2004,United Kingdom,1.75,6.1,92.39,65.1328369,42149.27034,2.331
2004,China,1.605,26.3,71.68,40.6109056,3061.833173,1.22
2004,Japan,1.29,3.9,98.71,54.73026208,32515.1158,2.031
2005,Argentina,2.426,16.7,83.0,63.02939215,11141.31067,
2005,Brazil,1.974,24.7,71.33,60.50425181,7325.90355,
2005,France,1.94,4.6,100.25,54.39488534,35208.8558,3.476
2005,Germany,1.34,4.7,92.16,56.53853717,35310.47047,3.448
2005,Poland,1.24,7.6,88.53,63.08562083,8554.693897,2.115
2005,Nigeria,6.068,154.6,79.33,,1950.122368,0.279
2005,Kenya,4.784,71.0,81.11,75.39938901,1221.859289,
2005,United Kingdom,1.76,6.0,93.13,64.54517572,43007.36292,2.408
2005,China,1.624,24.0,74.57,39.58687836,3390.716159,1.244
2005,Japan,1.26,3.7,99.65,54.80194383,33098.54747,
2006,Argentina,2.4,16.2,82.05,63.27018804,11913.95853,
2006,Brazil,1.927,23.2,75.18,60.43767644,7534.5425,
2006,France,2.0,4.5,96.0,54.23642332,35821.87199,3.469
2006,Germany,1.33,4.6,90.14,55.68542774,36699.44678,3.487
2006,Poland,1.27,7.3,86.25,62.11443282,9084.949214,2.156
2006,Nigeria,6.081,149.7,84.33,,2013.274011,0.344
2006,Kenya,4.748,66.7,82.95,76.23178007,1262.814666,
2006,United Kingdom,1.82,5.9,92.57,63.71234982,43711.15502,2.46
2006,China,1.644,21.9,76.14,37.75197952,3800.765796,1.278
2006,Japan,1.32,3.6,97.69,55.02901694,33531.51856,2.083
2007,Argentina,2.37,15.8,89.82,62.53123291,12857.09258,
2007,Brazil,1.881,21.8,79.93,59.87494756,7909.825247,
2007,France,1.98,4.4,95.01,54.11628961,36464.95927,3.449
2007,Germany,1.37,4.5,91.83,53.99391891,37842.35779,3.533
2007,Poland,1.31,7.0,92.53,60.40944566,9731.769454,2.168
2007,Nigeria,6.08,145.2,79.1,,2088.60443,0.373
2007,Kenya,4.719,62.8,87.81,74.85466096,1309.895639,
2007,United Kingdom,1.86,5.8,90.72,63.61358688,44508.6058,2.492
2007,China,1.666,20.1,78.0,36.36952582,4319.031398,1.298
2007,Japan,1.34,3.5,99.43,54.83529295,33990.03603,
2008,Argentina,2.341,15.4,91.03,63.07458348,13246.63489,
2008,Brazil,1.842,20.6,85.18,59.73079267,8231.100373,
2008,France,2.01,4.4,99.74,54.46591514,36354.65866,3.443
2008,Germany,1.38,4.4,96.41,54.22467789,38278.31301,3.58
2008,Poland,1.39,6.7,92.96,61.95083741,10139.11914,2.139
2008,Nigeria,6.078,141.3,84.11,,2170.058816,0.371
2008,Kenya,4.646,58.5,88.32,75.32755981,1274.404679,0.169
2008,United Kingdom,1.91,5.6,94.69,63.7124749,44060.0031,2.571
2008,China,1.701,18.5,82.67,35.28788015,4711.643449,1.347
2008,Japan,1.37,3.4,99.94,55.76379845,33557.6454,2.147
2009,Argentina,2.344,15.0,76.08,62.97814769,12336.86194,
2009,Brazil,1.825,19.5,84.14,61.9564599,8142.761048,
2009,France,2.0,4.3,100.92,55.37744355,35129.36224,3.394
2009,Germany,1.36,4.3,98.31,56.44073549,36190.39289,3.648
2009,Poland,1.4,6.3,95.77,61.6705235,10419.21487,2.148
2009,Nigeria,6.039,138.0,75.54,,2281.386346,0.373
2009,Kenya,4.514,55.2,89.82,72.47434243,1278.140902,0.171
2009,United Kingdom,1.89,5.4,92.54,64.28607401,41709.96617,2.653
